region	shape1	shape2	phi	mu
10:100993782-100993977	3.97928974478529	649.655403536401	653.634693281186	0.00608794145367287
10:101089420-101089572	2.16031944533109	255.795477630882	257.955797076213	0.00837476602509859
10:101090012-101090146	5.11533738426967	551.320901014726	556.436238398996	0.00919303422614557
10:101280084-101280236	4.64900293054851	604.659630336813	609.308633267362	0.00762996398987269
10:101280251-101280407	4.39181556159169	335.059344996516	339.451160558108	0.012937989531015
10:101283325-101283492	8.25276101169469	571.384178379221	579.636939390915	0.0142378106895098
10:101287578-101287679	18.3793432140949	123.066784388247	141.446127602342	0.12993882212008
10:101287707-101287790	6.11908677533989	332.141441809385	338.260528584725	0.0180898634580334
10:101287805-101288002	8.32064835711102	163.026000800066	171.346649157177	0.0485603214188242
10:101292432-101292559	2.87649193133323	276.947272859207	279.82376479054	0.0102796556021123
10:101292972-101293022	5.5612065402849	141.333417340152	146.894623880437	0.0378584756431343
10:101293027-101293243	8.85919150301729	1233.70316208733	1242.56235359035	0.00712977620593358
10:101293623-101293817	12.2717308619849	687.750942322236	700.022673184221	0.0175304762718098
10:101293828-101293964	29.2928230446147	422.248872402152	451.541695446767	0.0648729083936126
10:101294478-101294563	39.8434879117513	416.084797551834	455.928285463585	0.0873898136660652
10:101294590-101294817	29.1437994453764	1461.56675288254	1490.71055232792	0.0195502737938394
10:101295567-101295751	42.4506796354065	511.92916896595	554.379848601356	0.076573273257506
10:102419048-102419101	12.0459281569143	194.447235206066	206.493163362981	0.0583357238599689
10:102419143-102419229	32.7647665559501	300.034823214799	332.799589770749	0.0984519439417588
10:102419240-102419373	12.4391161051521	344.47814674161	356.917262846762	0.0348515395583224
10:102473436-102473541	5.04767134456033	396.676854370644	401.724525715204	0.0125650066686214
10:102473563-102473671	25.6301492529699	735.009939653553	760.640088906523	0.0336955014950832
10:102484079-102484380	22.9353589676559	675.52514255905	698.460501526706	0.0328370164347497
10:102490410-102490581	25.1200252710235	1288.45669250752	1313.57671777855	0.0191233788868496
10:102495190-102495326	21.6142169920281	647.505878602428	669.120095594456	0.0323024478480589
10:102495329-102495524	13.2639174442264	483.586744631245	496.850662075472	0.0266959842396499
10:102497349-102497526	7.48359128541567	1261.71020059894	1269.19379188436	0.00589633461278193
10:102497536-102497680	4.06108596991249	473.248792120123	477.309878090035	0.00850827974933811
10:102504132-102504242	14.9653827053862	479.077286235607	494.042668940993	0.0302916805495066
10:102504262-102504447	12.852436164232	1647.57208993185	1660.42452609608	0.00774045189181233
10:102508461-102508539	11.579542188543	413.860826317881	425.440368506424	0.0272177796131448
10:102508628-102508803	24.9982798861825	932.151199750881	957.149479637063	0.0261174251441493
10:102586065-102586260	35.1156482225582	838.902815649669	874.018463872228	0.0401772384383995
10:102893808-102894033	50.0853042647282	1096.31616830089	1146.40147256562	0.0436891485778001
10:102894041-102894306	27.3500919165126	1483.20134611743	1510.55143803394	0.01810603149808
10:102894542-102894808	21.3819057392238	1471.53870002513	1492.92060576435	0.0143221988206645
10:102894942-102895064	4.18109249193933	406.251327953051	410.432420444991	0.0101870424548972
10:102895101-102895196	2.65461599367164	146.036866776655	148.691482770326	0.0178531812596963
10:102900043-102900194	28.6111890978932	1405.49818174618	1434.10937084408	0.0199504930931826
10:102900187-102900293	26.9987565756167	562.842485793209	589.841242368826	0.0457729209764795
10:102977464-102977654	23.0168727823092	1051.54443370515	1074.56130648746	0.0214197855844512
10:102977692-102977809	15.1991593861115	605.753706956891	620.952866343003	0.0244771547245194
10:102984494-102984619	26.8151808616481	399.736827590975	426.552008452623	0.0628649738608053
10:102984616-102984731	42.9271604920408	1318.07230878739	1360.99946927943	0.0315409090605804
10:102984762-102984815	27.6173959042783	259.274020998759	286.891416903037	0.0962642807596171
10:102986798-102986959	22.7136698632349	833.610872275154	856.324542138389	0.0265246045693319
10:102986951-102987144	43.4591759290034	777.626888455519	821.086064384522	0.0529288923708381
10:102988089-102988247	31.8436733520103	609.752551156907	641.596224508917	0.0496319525202687
10:102988246-102988423	18.3138047571304	775.545969437562	793.859774194692	0.0230693194849284
10:103043920-103044181	11.855106439064	534.333138689691	546.188245128755	0.0217051658375939
10:105036553-105036783	4.68285194481409	721.879444895499	726.562296840313	0.00644521738215561
10:105314737-105314947	6.16917291919899	554.537955172107	560.707128091306	0.0110024870562987
10:106399453-106399519	19.2465776041118	671.186211115542	690.432788719653	0.0278761059998365
10:106399563-106399688	17.2333912891115	438.515971934799	455.74936322391	0.0378133085413544
10:106400391-106400708	23.4776521456533	1329.27640093838	1352.75405308403	0.0173554476455854
10:108924193-108924358	7.13934172304183	320.065957436702	327.205299159744	0.0218191506719955
10:108924361-108924538	3.88636446968868	218.09857398876	221.984938458448	0.0175073340411162
10:109674686-109674805	4.83501200205091	179.283837173321	184.118849175372	0.0262602771183172
10:109674802-109674992	10.699013108351	561.42367024725	572.122683355601	0.0187005574496704
10:112403275-112403374	10.695168561856	457.672864236579	468.368032798435	0.0228349669766185
10:112403367-112403621	11.3136617355415	1236.83391480402	1248.14757653957	0.00906436221821475
10:112432071-112432344	7.72325050576447	3649.97182789536	3657.69507840113	0.00211150747676335
10:112432244-112432511	9.38576282223659	3598.40179123939	3607.78755406163	0.00260152868803768
10:118030822-118030965	9.46210753691063	477.707412848635	487.169520385546	0.0194226180846091
10:118030965-118031125	9.70373784601506	421.220628666523	430.924366512538	0.0225184245777216
10:118031477-118031553	4.96220498631571	448.838820120364	453.801025106679	0.0109347593147221
10:118031545-118031835	6.0511720491404	1042.40878198068	1048.45995402982	0.00577148609814074
